id;message;handled;notif_from;notifto
1;Rustic bleeding-edge;true;Jewelery;Metal systematic generate
2;purple Shores transmitting;false;viral Tasty Wooden Towels invoice;Tuna invoice Credit Card Account
3;e-enable synergies synthesizing;true;partnerships Forges Specialist;Officer solutions compressing
4;Gloves;false;withdrawal compressing Unbranded Wooden Salad;payment Avon Terrace
5;interface;true;Borders;metrics client-server
6;multi-byte Usability;false;1080p;Spur Gorgeous Steel Bacon
7;Chair Gloves Associate;false;Spring wireless Engineer;Kenya back up
8;withdrawal Pataca Checking Account;false;Buckinghamshire Licensed;infrastructures
9;Lithuanian Litas Chief;true;Global withdrawal;Fantastic European Monetary Unit (E.M.U.-6)
10;scale SMTP Home;false;program Credit Card Account;Gorgeous Wooden Car Rhode Island
